"identity","regionIdentity","sessionIdentity","description","routeStartTime","version","modifiedBy","modifiedTimestamp","createdBy","createdTimestamp","status","workflowExtensions","preRouteTime","postRouteTime"
"{""identifier"":""R-002"",""entityKey"":20036}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","חולון אזור","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:54.9064408","shon@rasner.co.il","2023-11-20T12:14:54.9064408","PlanningActive","[]",0,0
"{""identifier"":""R-003"",""entityKey"":20037}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","בת ים","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:54.9814397","shon@rasner.co.il","2023-11-20T12:14:54.9814397","PlanningActive","[]",0,0
"{""identifier"":""R-004"",""entityKey"":20038}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","בני ברק","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.0414412","shon@rasner.co.il","2023-11-20T12:14:55.0414412","PlanningActive","[]",0,0
"{""identifier"":""R-005"",""entityKey"":20039}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","רעננה כפ""ס","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.1114403","shon@rasner.co.il","2023-11-20T12:14:55.1114403","PlanningActive","[]",0,0
"{""identifier"":""R-006"",""entityKey"":20040}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","פתח תקווה ראש העין","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.2244364","shon@rasner.co.il","2023-11-20T12:14:55.2244364","PlanningActive","[]",0,0
"{""identifier"":""R-007"",""entityKey"":20041}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","רמלה לוד","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.2934386","shon@rasner.co.il","2023-11-20T12:14:55.2934386","PlanningActive","[]",0,0
"{""identifier"":""R-008"",""entityKey"":20042}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","תל אביב","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.5444398","shon@rasner.co.il","2023-11-20T12:14:55.5444398","PlanningActive","[]",0,0
"{""identifier"":""R-009"",""entityKey"":20043}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","הרצליה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.658443","shon@rasner.co.il","2023-11-20T12:14:55.658443","PlanningActive","[]",0,0
"{""identifier"":""R-012"",""entityKey"":20044}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","ראשלצ נס ציונה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.7364411","shon@rasner.co.il","2023-11-20T12:14:55.7364411","PlanningActive","[]",0,0
"{""identifier"":""R-013"",""entityKey"":20045}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","אשדוד","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.8424372","shon@rasner.co.il","2023-11-20T12:14:55.8424372","PlanningActive","[]",0,0
"{""identifier"":""R-014"",""entityKey"":20046}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","ר""ג גבעתיים","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:55.9194399","shon@rasner.co.il","2023-11-20T12:14:55.9194399","PlanningActive","[]",0,0
"{""identifier"":""R-015"",""entityKey"":20047}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","נתניה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.0154394","shon@rasner.co.il","2023-11-20T12:14:56.0154394","PlanningActive","[]",0,0
"{""identifier"":""R-016"",""entityKey"":20048}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","בקעת אונו","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.0644376","shon@rasner.co.il","2023-11-20T12:14:56.0644376","PlanningActive","[]",0,0
"{""identifier"":""R-017"",""entityKey"":20049}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","מודיעין","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.1274401","shon@rasner.co.il","2023-11-20T12:14:56.1274401","PlanningActive","[]",0,0
"{""identifier"":""R-018"",""entityKey"":20050}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","תל אביב","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.169439","shon@rasner.co.il","2023-11-20T12:14:56.169439","PlanningActive","[]",0,0
"{""identifier"":""R-022"",""entityKey"":20051}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","רחובות גדרה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.2294351","shon@rasner.co.il","2023-11-20T12:14:56.2294351","PlanningActive","[]",0,0
"{""identifier"":""R-025"",""entityKey"":20052}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","זכרון חדרה","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.3274365","shon@rasner.co.il","2023-11-20T12:14:56.3274365","PlanningActive","[]",0,0
"{""identifier"":""R-034"",""entityKey"":20053}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","ירושלים","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.5424387","shon@rasner.co.il","2023-11-20T12:14:56.5424387","PlanningActive","[]",0,0
"{""identifier"":""R-035"",""entityKey"":20054}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","מעלה אדומים ושטחים","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.6354391","shon@rasner.co.il","2023-11-20T12:14:56.6354391","PlanningActive","[]",0,0
"{""identifier"":""R-036"",""entityKey"":20055}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","בית שמש ביתר","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.6914319","shon@rasner.co.il","2023-11-20T12:14:56.6914319","PlanningActive","[]",0,0
"{""identifier"":""R-040"",""entityKey"":20056}","{""identifier"":""CARMEL"",""entityKey"":405}","{""entityKey"":1111,""date"":""2023-11-21"",""description"":""Templates""}","באר שבע","2023-11-20T22:00:00",1,"shon@rasner.co.il","2023-11-20T12:14:56.7764369","shon@rasner.co.il","2023-11-20T12:14:56.7764369","PlanningActive","[]",0,0
